slug,maker,models,group,setting,rate_hz,deviation_pct,measured_hz,speed_error_pct,wow_pct,flutter_pct,scrape_pct,total_rms_pct,peak_pct
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,10.079,7.8e-05,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,101.594,0.004071,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,12.699,0.000214,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,128.0,0.005367,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,16.0,0.000288,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,161.27,0.007593,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,2.0,1.5e-05,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,2.52,1.5e-05,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,20.159,0.000375,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,203.187,0.011956,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,25.398,0.000472,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,3.175,3.4e-05,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,32.0,0.000769,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,4.0,3e-05,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,40.317,0.001062,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,5.04,3.5e-05,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,50.797,0.001488,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,6.35,7e-05,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,64.0,0.001936,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,8.0,6.2e-05,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_0.5,80.635,0.002805,3150.001,0.0,5e-05,0.0046,0.15136,0.11529,0.48715
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_1,0.198,1.3e-05,3150.0,0.0,4e-05,0.00458,0.14329,0.10996,0.47224
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_1,0.397,3e-06,3150.0,0.0,4e-05,0.00458,0.14329,0.10996,0.47224
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_1,0.5,1e-06,3150.0,0.0,4e-05,0.00458,0.14329,0.10996,0.47224
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_1,0.794,2e-06,3150.0,0.0,4e-05,0.00458,0.14329,0.10996,0.47224
aw_chromeoxide,Airwindows,cassette tape,aw-tape,intense_1,1.0,4e-06,3150.0,0.0,4e-05,0.00458,0.14329,0.10996,0.47224
