slug,maker,models,group,element,gr_target_db,gr_measured_db,reached,control,value,refined
cla3a,Waves,UREI LA-3A,opto-la2a,opto,6.0,5.85,True,peak_reduction,5.0,True
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,10.0,9.74,True,thresh,-25.0,True
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,15.0,15.0,True,thresh,-32.109375,True
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,3.0,2.99,True,thresh,-16.015625,True
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,6.0,6.0,True,thresh,-20.0,True
distressor,UAD,Empirical Labs Distressor,fet-other,fet,10.0,10.1,True,input,5.75,True
distressor,UAD,Empirical Labs Distressor,fet-other,fet,15.0,14.92,True,input,7.0,True
distressor,UAD,Empirical Labs Distressor,fet-other,fet,3.0,3.04,True,input,3.0,True
distressor,UAD,Empirical Labs Distressor,fet-other,fet,6.0,6.41,True,input,5.0,True
fairchild660,UAD,Fairchild 660 mono,varimu-fairchild,vari-mu,10.0,10.11,True,thresh,6.6875,True
fairchild660,UAD,Fairchild 660 mono,varimu-fairchild,vari-mu,15.0,14.8,True,thresh,7.625,True
fairchild660,UAD,Fairchild 660 mono,varimu-fairchild,vari-mu,3.0,3.11,True,thresh,3.3125,True
fairchild660,UAD,Fairchild 660 mono,varimu-fairchild,vari-mu,6.0,6.39,True,thresh,5.0,True
fairchild670,UAD,Fairchild 670 stereo,varimu-fairchild,vari-mu,10.0,10.44,True,l_thresh,8.0,True
fairchild670,UAD,Fairchild 670 stereo,varimu-fairchild,vari-mu,15.0,12.01,False,l_thresh,10.0,True
fairchild670,UAD,Fairchild 670 stereo,varimu-fairchild,vari-mu,3.0,2.9,True,l_thresh,2.625,True
fairchild670,UAD,Fairchild 670 stereo,varimu-fairchild,vari-mu,6.0,5.79,True,l_thresh,4.0,True
h_comp,Waves,"hybrid, analogue-modelled",digital,hybrid,10.0,10.03,True,threshold,-26.0625,True
h_comp,Waves,"hybrid, analogue-modelled",digital,hybrid,15.0,15.2,True,threshold,-33.0,True
h_comp,Waves,"hybrid, analogue-modelled",digital,hybrid,3.0,2.96,True,threshold,-16.59375,True
h_comp,Waves,"hybrid, analogue-modelled",digital,hybrid,6.0,6.22,True,threshold,-21.0,True
kh_comp,Kilohearts,clean digital,digital,digital,10.0,9.08,True,threshold,"('raw', 0.2)",False
kh_comp,Kilohearts,clean digital,digital,digital,15.0,9.08,False,threshold,"('raw', 0.2)",False
kh_comp,Kilohearts,clean digital,digital,digital,3.0,2.18,True,threshold,"('raw', 0.5)",False
kh_comp,Kilohearts,clean digital,digital,digital,6.0,6.78,True,threshold,"('raw', 0.3)",False
kotelnikov,Tokyo Dawn,"clean digital, states its times",digital,digital,10.0,10.11,True,threshold_db,-25.0,True
kotelnikov,Tokyo Dawn,"clean digital, states its times",digital,digital,15.0,15.03,True,threshold_db,-30.859375,True
kotelnikov,Tokyo Dawn,"clean digital, states its times",digital,digital,3.0,3.02,True,threshold_db,-16.25,True
kotelnikov,Tokyo Dawn,"clean digital, states its times",digital,digital,6.0,6.0,True,threshold_db,-20.0,True
la2a,UAD,Teletronix LA-2A,opto-la2a,opto,10.0,10.97,True,peak_reduct,60,False
la2a,UAD,Teletronix LA-2A,opto-la2a,opto,15.0,16.2,True,peak_reduct,70,False
la2a,UAD,Teletronix LA-2A,opto-la2a,opto,3.0,4.58,False,peak_reduct,40,False
la2a,UAD,Teletronix LA-2A,opto-la2a,opto,6.0,4.58,True,peak_reduct,40,False
molotok,Tokyo Dawn,digital with a modelled character,digital,digital,10.0,9.91,True,thresh_db,-25.0,True
molotok,Tokyo Dawn,digital with a modelled character,digital,digital,15.0,14.98,True,thresh_db,-32.03125,True
molotok,Tokyo Dawn,digital with a modelled character,digital,digital,3.0,2.57,True,thresh_db,-15.0,True
molotok,Tokyo Dawn,digital with a modelled character,digital,digital,6.0,6.24,True,thresh_db,-20.0,True
rcomp,Waves,"Renaissance, opto and electro modes",digital,digital,10.0,10.03,True,threshold,-22.40625,True
rcomp,Waves,"Renaissance, opto and electro modes",digital,digital,15.0,15.01,True,threshold,-28.5,True
rcomp,Waves,"Renaissance, opto and electro modes",digital,digital,3.0,3.14,True,threshold,-12.0,True
rcomp,Waves,"Renaissance, opto and electro modes",digital,digital,6.0,6.03,True,threshold,-16.96875,True
solid_bus_comp,Softube,SSL G series bus compressor,vca-sslbus,vca,10.0,11.31,True,threshold,"('raw', 0.4)",False
solid_bus_comp,Softube,SSL G series bus compressor,vca-sslbus,vca,15.0,14.04,True,threshold,"('raw', 0.3)",False
solid_bus_comp,Softube,SSL G series bus compressor,vca-sslbus,vca,3.0,3.15,True,threshold,"('raw', 0.7)",False
solid_bus_comp,Softube,SSL G series bus compressor,vca-sslbus,vca,6.0,5.86,True,threshold,"('raw', 0.6)",False
solid_dynamics,Softube,SSL 4000 channel dynamics,vca-sslchannel,vca,10.0,9.26,True,threshold_comp,"('raw', 0.9)",False
solid_dynamics,Softube,SSL 4000 channel dynamics,vca-sslchannel,vca,15.0,9.26,False,threshold_comp,"('raw', 0.9)",False
solid_dynamics,Softube,SSL 4000 channel dynamics,vca-sslchannel,vca,3.0,3.27,True,threshold_comp,"('raw', 0.5)",False
solid_dynamics,Softube,SSL 4000 channel dynamics,vca-sslchannel,vca,6.0,5.87,True,threshold_comp,"('raw', 0.7)",False
ssl_gbus,UAD,SSL G series bus compressor,vca-sslbus,vca,10.0,10.02,True,thresh,1.125,True
ssl_gbus,UAD,SSL G series bus compressor,vca-sslbus,vca,15.0,14.97,True,thresh,-4.03125,True
ssl_gbus,UAD,SSL G series bus compressor,vca-sslbus,vca,3.0,2.85,True,thresh,9.0,True
ssl_gbus,UAD,SSL G series bus compressor,vca-sslbus,vca,6.0,6.0,True,thresh,5.4375,True
ssl_native_bus,SSL,SSL G series bus compressor,vca-sslbus,vca,10.0,9.53,True,threshold_db,0.0,True
ssl_native_bus,SSL,SSL G series bus compressor,vca-sslbus,vca,15.0,14.99,True,threshold_db,-6.5625,True
ssl_native_bus,SSL,SSL G series bus compressor,vca-sslbus,vca,3.0,3.03,True,threshold_db,8.125,True
ssl_native_bus,SSL,SSL G series bus compressor,vca-sslbus,vca,6.0,5.97,True,threshold_db,4.375,True
supercharger_gt,Native Instruments,tube compressor,opto-other,tube,10.0,10.0,True,compression,4.640625,True
supercharger_gt,Native Instruments,tube compressor,opto-other,tube,15.0,14.94,True,compression,6.5,True
supercharger_gt,Native Instruments,tube compressor,opto-other,tube,3.0,2.51,True,compression,2.0,True
supercharger_gt,Native Instruments,tube compressor,opto-other,tube,6.0,6.02,True,compression,3.359375,True
vari_comp,Softube,Manley Variable Mu,varimu-other,vari-mu,10.0,1.52,False,thresh,0.0,True
vari_comp,Softube,Manley Variable Mu,varimu-other,vari-mu,15.0,1.52,False,thresh,0.0,True
vari_comp,Softube,Manley Variable Mu,varimu-other,vari-mu,3.0,1.52,True,thresh,0.0,True
vari_comp,Softube,Manley Variable Mu,varimu-other,vari-mu,6.0,1.52,False,thresh,0.0,True
vc160,Softube,dbx 160 VU,vca-dbx160,vca,10.0,7.65,False,threshold,"('raw', 0.5)",False
vc160,Softube,dbx 160 VU,vca-dbx160,vca,15.0,17.28,False,threshold,"('raw', 0.3)",False
vc160,Softube,dbx 160 VU,vca-dbx160,vca,3.0,2.83,True,threshold,"('raw', 0.6)",False
vc160,Softube,dbx 160 VU,vca-dbx160,vca,6.0,7.65,False,threshold,"('raw', 0.5)",False
vc2a,Softube,Teletronix LA-2A,opto-la2a,opto,10.0,10.02,True,peak_reduction,54.84375,True
vc2a,Softube,Teletronix LA-2A,opto-la2a,opto,15.0,15.0,True,peak_reduction,66.40625,True
vc2a,Softube,Teletronix LA-2A,opto-la2a,opto,3.0,2.99,True,peak_reduction,34.375,True
vc2a,Softube,Teletronix LA-2A,opto-la2a,opto,6.0,6.04,True,peak_reduction,44.375,True
vc76,Softube,UREI 1176,fet-1176,fet,10.0,8.94,True,input,"('raw', 0.6)",False
vc76,Softube,UREI 1176,fet-1176,fet,15.0,16.69,False,input,"('raw', 0.8)",False
vc76,Softube,UREI 1176,fet-1176,fet,3.0,1.55,True,input,"('raw', 0.4)",False
vc76,Softube,UREI 1176,fet-1176,fet,6.0,5.11,True,input,"('raw', 0.5)",False
vcomp,Waves,Neve 2254 diode bridge,diode-neve,diode-bridge,10.0,9.97,True,input,-9.0,True
vcomp,Waves,Neve 2254 diode bridge,diode-neve,diode-bridge,15.0,14.53,True,input,-3.0,True
vcomp,Waves,Neve 2254 diode bridge,diode-neve,diode-bridge,3.0,2.97,True,input,-19.59375,True
vcomp,Waves,Neve 2254 diode bridge,diode-neve,diode-bridge,6.0,5.73,True,input,-15.0,True
