slug,maker,models,group,setting,condition,hz,level_dbfs,rms_dbfs,a_weighted_dbfs
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,under_tone_-12,6300.0,-156.26,-98.2,-106.25
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,under_tone_-12,80.0,-154.92,-98.2,-106.25
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,under_tone_-12,800.0,-160.12,-98.2,-106.25
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,under_tone_-12,8000.0,-157.34,-98.2,-106.25
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,100.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,1000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,10000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,125.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,1250.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,12500.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,160.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,1600.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,16000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,20.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,200.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,2000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,20000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,25.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,250.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,2500.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,31.5,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,315.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,3150.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,40.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,400.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,4000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,50.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,500.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,5000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,63.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,630.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,6300.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,80.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,800.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,silence,8000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,100.0,-146.84,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,1000.0,-135.13,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,10000.0,-142.42,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,125.0,-148.05,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,1250.0,-150.09,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,12500.0,-142.37,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,160.0,-149.71,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,1600.0,-151.28,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,16000.0,-141.22,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,20.0,-146.1,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,200.0,-148.94,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,2000.0,-142.71,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,20000.0,-96.3,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,25.0,-145.53,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,250.0,-148.37,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,2500.0,-151.67,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,31.5,-144.16,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,315.0,-148.43,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,3150.0,-145.39,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,40.0,-149.97,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,400.0,-149.55,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,4000.0,-146.04,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,50.0,-145.68,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,500.0,-149.87,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,5000.0,-146.87,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,63.0,-147.36,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,630.0,-149.71,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,6300.0,-144.53,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,80.0,-147.05,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,800.0,-148.83,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,under_tone_-12,8000.0,-145.34,-95.57,-104.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,100.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,1000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,10000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,125.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,1250.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,12500.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,160.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,1600.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,16000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,20.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,200.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,2000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,20000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,25.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,250.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,2500.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,31.5,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,315.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,3150.0,-200.0,-200.0,-200.0
