slug,maker,models,group,setting,depth,matched,hz,level_dbfs,thd_pct,thd_db,gain_db,noise_floor_db,clipped,rejected_runs,h2,h3,h4,h5,h6,h7,h8
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,-12.0,0.019533656056369846,-74.18432926992617,8.941,-125.82142494474118,False,0,-100.82537292380961,-76.33070185242039,-119.04120500832376,-80.1495580969968,-117.78637382018331,-82.89714777312946,-128.45525694855291
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,-15.0,0.028454999818010217,-70.91682825666551,8.939,-128.83591014008567,False,0,-102.05921434008843,-72.87811894758312,-120.98717714830599,-77.10694713599115,-118.43071528172891,-80.04732863047066,-128.26845087227437
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,-18.0,0.040407784924083125,-67.87069912161701,8.937,-131.84342527199814,False,0,-103.08123551513134,-69.7018499454971,-122.63625332884212,-74.21680575314058,-118.94777496946213,-77.38752768152773,-128.0745302371144
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,-21.0,0.05607282231535832,-65.02495167983543,8.933,-134.85607784172367,False,0,-103.8697855569204,-66.7080949066276,-123.91513684887906,-71.53802247424602,-119.20950936203076,-75.11480324220341,-128.08656126163368
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,-24.0,0.07538459809201281,-62.45434752475777,8.928,-137.87456456341334,False,0,-104.42876118582107,-63.90293888779585,-124.79610482316383,-69.26523453541583,-119.42394663824251,-73.69497569625506,-128.10448350659237
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,-27.0,0.09603238520979304,-60.35164568377028,8.921,-140.87567743263003,False,0,-104.85793982755423,-61.39944366563486,-125.25522825123485,-67.88430963564993,-119.53825163558767,-74.57288184592855,-127.57809719187924
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,-3.0,0.0047494935014464655,-86.4670540443681,8.942,-116.79503932560866,True,0,-95.43200148452149,-92.52391022073907,-111.68575314907517,-90.93498069543286,-114.40314208408047,-92.26687699724066,-128.0591725551599
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,-30.0,0.1115969908786333,-59.04695031270425,8.911,-143.88863003465758,False,0,-105.09879292946582,-59.517955667522955,-125.9447669252556,-68.95269043861579,-119.955154582111,-91.57462930228834,-126.37843666605167
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,-36.0,0.10774152875854322,-59.35233732971085,8.883,-149.83959122677072,False,0,-105.31910788303688,-65.29135036998254,-130.91407411523744,-62.60289996320124,-123.52241273179006,-65.00436412298879,-125.13279087857097
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,-42.0,0.13629673187704242,-57.3102911510663,8.888,-155.79629674068016,False,0,-106.66824769601192,-57.40840212105445,-129.62245938621177,-74.26915728850179,-120.58484268200155,-83.91999259814921,-126.54297585288988
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,-48.0,0.0680933421310234,-63.337906988502326,8.917,-161.79599949909482,False,0,-106.35262236682978,-63.43654197747833,-129.79431213179143,-80.27119728982282,-120.57980708420408,-90.03056376855179,-126.65069138614203
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,-54.0,0.034054973832176844,-69.3563889818577,8.931,-167.79599658817438,False,0,-106.2964339039884,-69.45655077955206,-129.6556780271053,-86.23393842253962,-120.57378739197398,-96.21075418727828,-126.58550080636837
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,-6.0,0.007943645910553148,-81.99960245671923,8.942,-119.80331910930332,True,0,-97.50465522528711,-85.53936375619507,-114.34096638006112,-86.8494040335983,-115.81646885346811,-88.97064827611395,-128.74235677306748
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,-60.0,0.017035079383832342,-75.37311676539727,8.939,-173.79629125359253,False,0,-106.26245872103588,-75.47789480993418,-129.59605467467617,-92.13579089928275,-120.59496596456455,-102.567404081413,-126.67973511383984
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,-9.0,0.012882620016180662,-77.79991605807176,8.941,-122.81191309966131,True,0,-99.24659391970525,-80.32788741528447,-116.71664252828968,-83.3577688488434,-116.8977172963956,-85.87608891652508,-128.76409031134625
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,0.0,0.00478034422885762,-86.41081658110207,8.941,-113.78035637939772,True,0,-93.22676380221378,-88.80689439472592,-109.0310817314576,-96.56322894332513,-112.80942252770237,-95.93966818611491,-126.21916928777043
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,3.0,0.008071854101416108,-81.86053393126669,8.939,-106.73316949658216,True,0,-91.62306110988771,-82.4628921757631,-102.21941292230301,-103.7468486813122,-122.83124840470607,-103.71493594931968,-109.81798509704359
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,1000.0,-12.0,0.020753863375636842,-73.65802093176653,9.094,-125.84764935304875,False,0,-103.86545149541155,-75.50746771566727,-117.95629552199303,-80.06738540326049,-130.32810449383302,-82.96937766807491,-121.27473016110974
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,1000.0,-15.0,0.02910977422775922,-70.71922325777726,9.092,-128.85945704924615,False,0,-104.26179951390296,-72.5408542210526,-117.94319301227472,-77.13690505181395,-130.28516885381495,-80.15162444706158,-121.27404674178032
