slug,maker,models,group,setting,level_dbfs,crest_in_db,crest_out_db,crest_change_db,slew_index,click_peak_gain_db,tone_gain_db,square_slope_ratio,sine_slope_ratio
nlsbuss_nevo,Waves,Neve 5116 console buss,console-neve,drive_12,-12.0,36.224,36.236,0.012,0.98863,6.423,6.444,2.08328,2.10724
nlsbuss_nevo,Waves,Neve 5116 console buss,console-neve,drive_12,-24.0,36.224,36.238,0.013,0.99137,6.407,6.428,2.08189,2.10001
nlsbuss_nevo,Waves,Neve 5116 console buss,console-neve,drive_12,-3.0,36.224,36.025,-0.2,0.94471,6.108,6.093,1.99497,2.11173
nlsbuss_nevo,Waves,Neve 5116 console buss,console-neve,drive_12,-6.0,36.224,36.235,0.011,0.98718,6.426,6.447,2.08342,2.11047
nlsbuss_nevo,Waves,Neve 5116 console buss,console-neve,drive_6,-12.0,36.224,36.232,0.007,0.98562,1.533,1.61,1.18712,1.20444
nlsbuss_nevo,Waves,Neve 5116 console buss,console-neve,drive_6,-24.0,36.224,36.231,0.007,0.98593,1.53,1.612,1.1868,1.20374
nlsbuss_nevo,Waves,Neve 5116 console buss,console-neve,drive_6,-3.0,36.224,36.232,0.007,0.98524,1.534,1.609,1.18719,1.20498
nlsbuss_nevo,Waves,Neve 5116 console buss,console-neve,drive_6,-6.0,36.224,36.232,0.007,0.98536,1.534,1.609,1.18718,1.20482
nlsbuss_nevo,Waves,Neve 5116 console buss,console-neve,matched_thd_0.1_pct,-12.0,36.224,36.232,0.008,0.98602,2.662,2.725,1.35196,1.37113
nlsbuss_nevo,Waves,Neve 5116 console buss,console-neve,matched_thd_0.1_pct,-24.0,36.224,36.232,0.008,0.98653,2.657,2.729,1.35147,1.36992
nlsbuss_nevo,Waves,Neve 5116 console buss,console-neve,matched_thd_0.1_pct,-3.0,36.224,36.233,0.008,0.98546,2.664,2.724,1.35207,1.37202
nlsbuss_nevo,Waves,Neve 5116 console buss,console-neve,matched_thd_0.1_pct,-6.0,36.224,36.233,0.008,0.98563,2.664,2.724,1.35204,1.37175
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,drive_0,-12.0,36.224,36.32,0.095,0.97252,0.538,0.348,1.01626,1.04498
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,drive_0,-24.0,36.224,36.295,0.071,0.97666,0.393,0.262,1.00671,1.03077
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,drive_0,-3.0,36.224,36.323,0.098,0.96351,0.603,0.399,1.01869,1.05727
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,drive_0,-6.0,36.224,36.323,0.098,0.96612,0.586,0.385,1.01817,1.05388
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,drive_12,-12.0,36.224,36.48,0.255,0.95324,7.905,7.311,2.29715,2.40983
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,drive_12,-24.0,36.224,36.449,0.225,0.99902,7.488,7.004,2.2522,2.25441
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,drive_12,-3.0,36.224,36.469,0.245,0.9329,8.041,7.436,2.30563,2.47148
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,drive_12,-6.0,36.224,36.473,0.249,0.93751,8.008,7.404,2.30389,2.45746
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,drive_6,-12.0,36.224,36.404,0.18,0.97173,2.422,2.033,1.24742,1.28371
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,drive_6,-24.0,36.224,36.355,0.13,0.99338,2.082,1.819,1.22192,1.23006
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,drive_6,-3.0,36.224,36.405,0.181,0.95147,2.562,2.148,1.25339,1.31732
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,drive_6,-6.0,36.224,36.407,0.182,0.95695,2.527,2.117,1.25213,1.30846
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,-12.0,36.224,36.35,0.125,0.97253,1.343,1.084,1.11052,1.14189
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,-24.0,36.224,36.315,0.091,0.98227,1.129,0.955,1.09564,1.11541
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,-3.0,36.224,36.352,0.127,0.95944,1.436,1.159,1.11417,1.16126
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,-6.0,36.224,36.352,0.128,0.96312,1.412,1.138,1.11339,1.15603
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,-12.0,36.224,36.47,0.246,0.95597,7.254,6.688,2.13758,2.23603
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,-24.0,36.224,36.436,0.212,0.99912,6.844,6.391,2.0952,2.09704
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,-3.0,36.224,36.461,0.236,0.93534,7.391,6.813,2.14573,2.29406
