slug,maker,models,group,band,target_hz,actual_hz,marking,gain_label,hz,gain_db
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+12,63.2,0.169
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+12,632.5,0.393
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+12,6324.6,9.361
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+12,69.6,0.173
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+12,696.1,0.435
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+12,6961.4,10.154
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+12,76.6,0.177
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+12,766.2,0.501
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+12,7662.4,10.832
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+12,84.3,0.182
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+12,843.4,0.571
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+12,8433.9,11.318
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+12,92.8,0.183
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+12,928.3,0.647
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+12,9283.2,11.521
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,102.2,0.196
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,1021.8,0.486
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,10217.9,4.074
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,112.5,0.195
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,1124.7,0.545
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,11246.8,3.94
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,123.8,0.193
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,1237.9,0.611
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,12379.3,3.749
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,136.3,0.192
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,1362.6,0.686
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,13625.8,3.509
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,1499.8,0.789
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,14997.9,3.235
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,150.0,0.194
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,165.1,0.198
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,1650.8,0.892
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,16508.1,2.941
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,181.7,0.203
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,1817.0,1.019
