element,gr_target_db,group,hold,maker,models,slug,family,gr_at_end_of_hold_db,gr_measured_db,reached,release_0.1_ms,release_0.2_ms,release_0.5_ms,release_1000_ms,release_100_ms,release_10_ms,release_1_ms,release_2000_ms,release_200_ms,release_20_ms,release_2_ms,release_5000_ms,release_500_ms,release_50_ms,release_5_ms
fet,15.0,fet-1176,hold_3s,UAD,UREI 1176AE anniversary,1176ae,comp,14.990091214247407,14.99,True,14.69295886676817,14.475896583149694,14.47155035127735,0.8436756913484069,11.690456768411453,14.594953419077891,14.420407006738328,0.03431698041724873,8.959534431923249,14.294430275746171,14.92043006532224,-0.0008196745648159087,3.848913937611594,13.318327506626057,14.726499209904661
fet,3.0,fet-1176,hold_0.03s,UAD,UREI 1176AE anniversary,1176ae,comp,3.665591045637564,4.8,False,2.990367745236849,2.3286321265280865,2.298339897064011,0.19568463364191935,2.9892441481614185,3.443438581289268,2.0650981411749427,0.007700204388896736,2.2345802659296687,3.452503486813187,3.8851196014046305,9.635606013169706e-05,0.9341418332979039,3.3395779019988794,3.4025906978552136
fet,3.0,fet-1176,hold_0.3s,UAD,UREI 1176AE anniversary,1176ae,comp,4.6112713672891665,4.8,False,3.976356377492552,3.430111179810817,3.4914128654922756,0.22050878185076783,3.501230993977355,4.377891267732698,3.360178681489492,0.00823680662210613,2.572876944245662,4.3468045916074995,4.625107113692907,-0.0004131157336697555,1.0582001705069874,4.082256518798081,4.351509746141117
fet,3.0,fet-1176,hold_3s,UAD,UREI 1176AE anniversary,1176ae,comp,4.792776838940608,4.8,False,4.1769795266343746,3.6585160664121474,3.7410161718741275,0.22478230528023424,3.6082718872843866,4.569864425479828,3.63658317580866,0.00761422940626133,2.6403799243147734,4.529381239458068,4.774708413462152,-0.0012421662994999139,1.0816532872504059,4.234512774110854,4.547454169365134
fet,6.0,fet-1176,hold_0.03s,UAD,UREI 1176AE anniversary,1176ae,comp,4.737798627931413,6.0,True,4.0782676515464775,3.4311468080718655,3.3940552633987995,0.25899878961027056,3.848024927842374,4.496089939928112,3.1656562291691923,0.010330630561711907,2.911266074456675,4.4818237476326654,4.944694820214378,0.0001736707394650594,1.227776863380548,4.301736141535207,4.467341674638591
fet,6.0,fet-1176,hold_0.3s,UAD,UREI 1176AE anniversary,1176ae,comp,5.784124339105601,6.0,True,5.129452003235976,4.5604713711434375,4.631128910816674,0.28482282058560315,4.420913870835813,5.5317619404733485,4.495859318209286,0.010755131876578616,3.27536275204468,5.4760041940280715,5.803558664202097,-0.0004622971567567191,1.357471870758669,5.131514913320299,5.515723973377606
fet,6.0,fet-1176,hold_3s,UAD,UREI 1176AE anniversary,1176ae,comp,5.9864235261524765,6.0,True,5.3514077887104445,4.812130006882333,4.902334259230454,0.2899283877126386,4.536966990064348,5.7399214895347885,4.793242130821007,0.010237719270508983,3.3482000409767707,5.673056814334137,5.971036700740168,-0.0012095100073166165,1.3844928379402184,5.2953272184851645,5.728994885184944
fet,10.0,fet-1176,hold_0.03s,UAD,UREI 1176LN Rev E,1176ln,comp,8.661305139262279,10.25,True,8.139927232468937,7.612814756668882,7.628134744099146,0.3549631391407875,5.647844378268212,8.286870628978868,7.480647294890679,0.09361419164857487,3.7064274784928117,7.992821387599351,8.801505334212944,0.003894326340920351,1.222973610051815,7.038320987619169,8.39921317472092
fet,10.0,fet-1176,hold_0.3s,UAD,UREI 1176LN Rev E,1176ln,comp,9.188326426019824,10.25,True,8.753496342238424,8.36194689775445,8.474757103990207,0.679652907712498,6.310741267086069,8.899575050356619,8.453504957378897,0.20417273971081684,4.4309980428652995,8.599215871940125,9.200576393285987,0.008438996655970143,1.811277675900866,7.640905699055665,9.010141456748094
fet,10.0,fet-1176,hold_3s,UAD,UREI 1176LN Rev E,1176ln,comp,10.723347772128397,10.25,True,10.280740620830699,9.901862644712857,10.014633796857666,2.10865849009852,8.4626202037588,10.510595326377333,9.999986321797394,0.7410129313460709,6.82424779060316,10.296398267024003,10.734148715371884,0.03245552990364242,4.016749326414091,9.548121121576623,10.575739109094446
