slug,maker,models,group,element,gr_target_db,marking,attack_t63_ms,attack_t90_ms,release_t63_ms,release_t90_ms,gr_at_end_of_hold_db,rejected_runs
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,release=6.0,1.6041666666666667,104.875,115.35416666666667,317.75,9.840058914140778,0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,release=7.0,1.5833333333333333,108.39583333333333,84.29166666666667,265.1875,9.522414876869135,0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,as_set,1.9166666666666667,89.14583333333333,360.2916666666667,796.2708333333334,10.366936740728855,0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,as_set,1.3541666666666667,65.14583333333333,373.8125,815.75,14.990293606578946,0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,as_set,4.583333333333333,142.60416666666666,334.7708333333333,776.7083333333334,4.792786608477925,0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,as_set,3.5416666666666665,127.625,343.7916666666667,782.2291666666666,5.986662598301705,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,attack=1.00,4.958333333333333,523.3958333333334,478.25,1558.7291666666667,10.402285317062677,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,attack=2.00,3.5833333333333335,512.8958333333334,480.2291666666667,1565.2291666666667,10.644509144210161,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,attack=3.00,2.9166666666666665,510.8958333333333,480.2083333333333,1564.25,10.611302423250294,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,attack=4.00,2.0,513.8958333333334,479.7291666666667,1562.7291666666667,10.529030567978939,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,attack=5.00,1.4375,524.875,478.7291666666667,1559.2708333333333,10.38785552402263,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,attack=6.00,0.9166666666666666,576.375,476.2291666666667,1552.2708333333333,9.901043715491733,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,attack=7.00,0.375,701.375,475.7291666666667,1550.2708333333333,9.78148599957807,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,release=1.0,2.4166666666666665,509.375,1395.2083333333333,3233.25,10.341241296912202,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,release=2.0,2.4166666666666665,512.375,1318.2291666666667,3087.75,10.284532523774123,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,release=3.0,2.3958333333333335,510.875,1060.2083333333333,2605.7708333333335,10.291742644600173,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,release=4.0,2.3958333333333335,509.375,780.7083333333334,2094.7708333333335,10.400133834756087,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,release=5.0,2.0,513.8958333333334,479.7291666666667,1562.7291666666667,10.529030567978939,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,release=6.0,1.8958333333333333,546.3958333333334,142.66666666666666,1033.25,10.308767249143425,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,release=7.0,1.875,529.8958333333334,106.83333333333333,985.25,10.440126349015586,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,as_set,2.0,513.8958333333334,479.7291666666667,1562.7291666666667,10.529030567978939,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,as_set,1.3958333333333333,354.3958333333333,535.7083333333334,1680.75,15.31938480553853,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,as_set,12.125,962.125,0.16666666666666666,1447.25,2.9342685408230755,0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,as_set,4.020833333333333,712.625,459.7291666666667,1499.2708333333333,6.230593411632138,0
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,10.0,as_set,13.979166666666666,46.645833333333336,62.666666666666664,90.20833333333333,9.741803094488585,0
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,15.0,as_set,8.4375,37.083333333333336,88.16666666666667,126.1875,13.45971438380929,0
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,3.0,as_set,52.145833333333336,94.14583333333333,10.104166666666666,16.645833333333332,2.252332381751724,0
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,6.0,as_set,24.604166666666668,61.645833333333336,37.145833333333336,54.1875,6.003674233132673,0
vc76,Softube,UREI 1176,fet-1176,fet,10.0,attack=1.0,3.4375,102.875,552.2291666666666,1324.5208333333333,8.962498713583699,0
vc76,Softube,UREI 1176,fet-1176,fet,10.0,attack=2.0,2.9166666666666665,100.875,552.75,1325.5208333333333,8.988222937055522,0
vc76,Softube,UREI 1176,fet-1176,fet,10.0,attack=3.0,2.3958333333333335,100.375,553.7291666666666,1326.0208333333333,9.015361141870144,0
vc76,Softube,UREI 1176,fet-1176,fet,10.0,attack=4.0,1.875,98.875,554.2291666666666,1325.7291666666667,9.039410854638756,0
vc76,Softube,UREI 1176,fet-1176,fet,10.0,attack=5.0,1.3541666666666667,98.875,555.2291666666666,1326.7291666666667,9.097803049947093,0
vc76,Softube,UREI 1176,fet-1176,fet,10.0,attack=6.0,0.8333333333333334,120.875,557.7291666666666,1329.5208333333333,9.191909399353406,0
vc76,Softube,UREI 1176,fet-1176,fet,10.0,attack=7.0,0.375,210.875,558.7291666666666,1331.2291666666667,9.249459168039555,0
vc76,Softube,UREI 1176,fet-1176,fet,10.0,release=1.0,1.875,47.270833333333336,1350.0625,2620.5208333333335,9.345487051921255,0
vc76,Softube,UREI 1176,fet-1176,fet,10.0,release=2.0,1.875,53.770833333333336,1167.5625,2322.5208333333335,9.289460826710483,0
vc76,Softube,UREI 1176,fet-1176,fet,10.0,release=3.0,1.875,62.875,968.7291666666666,2001.5208333333333,9.22031554591321,0
vc76,Softube,UREI 1176,fet-1176,fet,10.0,release=4.0,1.875,77.875,773.7291666666666,1683.5208333333333,9.136404794141848,0
vc76,Softube,UREI 1176,fet-1176,fet,10.0,release=5.0,1.875,98.875,554.2291666666666,1325.7291666666667,9.039410854638756,0
vc76,Softube,UREI 1176,fet-1176,fet,10.0,release=6.0,1.875,120.875,325.2291666666667,946.2291666666666,8.931739889238024,0
vc76,Softube,UREI 1176,fet-1176,fet,10.0,release=7.0,1.6041666666666667,168.89583333333334,85.25,633.75,8.465135043368692,0
vc76,Softube,UREI 1176,fet-1176,fet,10.0,as_set,1.875,98.875,554.2291666666666,1325.7291666666667,9.039410854638756,0
vc76,Softube,UREI 1176,fet-1176,fet,15.0,as_set,0.875,6.0625,733.1875,1654.6875,16.90335884624528,0
vc76,Softube,UREI 1176,fet-1176,fet,3.0,as_set,34.270833333333336,993.375,0.041666666666666664,0.08333333333333333,1.5916529056469564,0
vc76,Softube,UREI 1176,fet-1176,fet,6.0,as_set,4.041666666666667,380.875,482.2291666666667,1402.7291666666667,5.204290845482889,0
