slug,maker,models,group,element,gr_target_db,level_dbfs,out_db,gain_db,gr_db
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-21.0,-23.489,-2.489,0.696
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-24.0,-25.794,-1.794,0.001
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-27.0,-28.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-3.0,-19.098,-16.098,14.305
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-30.0,-31.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-36.0,-37.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-42.0,-43.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-48.0,-49.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-54.0,-55.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-6.0,-19.606,-13.606,11.813
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-9.0,-20.157,-11.157,9.364
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,0.0,-18.585,-18.585,16.792
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-12.0,-28.116,-16.116,10.37
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-15.0,-28.584,-13.584,7.838
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-18.0,-29.108,-11.108,5.362
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-21.0,-29.774,-8.774,3.028
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-24.0,-30.635,-6.635,0.889
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-27.0,-32.769,-5.769,0.023
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-3.0,-26.845,-23.845,18.099
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-30.0,-35.762,-5.762,0.016
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-36.0,-41.753,-5.753,0.007
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-42.0,-47.749,-5.749,0.003
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-48.0,-53.747,-5.747,0.001
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-54.0,-59.746,-5.746,0.0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-6.0,-27.258,-21.258,15.512
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-9.0,-27.66,-18.66,12.914
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,0.0,-26.47,-26.47,20.724
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,-12.0,-27.341,-15.341,14.994
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,-15.0,-27.753,-12.753,12.406
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,-18.0,-28.211,-10.211,9.864
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,-21.0,-28.681,-7.681,7.334
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,-24.0,-29.23,-5.23,4.883
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,-27.0,-29.932,-2.932,2.585
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,-3.0,-26.175,-23.175,22.828
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,-30.0,-30.865,-0.865,0.518
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,-36.0,-36.361,-0.361,0.014
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,-42.0,-42.353,-0.353,0.006
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,-48.0,-48.349,-0.349,0.002
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,-54.0,-54.347,-0.347,0.0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,-6.0,-26.537,-20.537,20.19
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,-9.0,-26.921,-17.921,17.574
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,0.0,-25.731,-25.731,25.384
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,-12.0,-29.628,-17.628,3.481
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,-15.0,-30.455,-15.455,1.308
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,-18.0,-32.173,-14.173,0.026
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,-21.0,-35.165,-14.165,0.018
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,-24.0,-38.159,-14.159,0.012
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,-27.0,-41.155,-14.155,0.008
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,-3.0,-28.023,-25.023,10.876
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,-30.0,-44.153,-14.153,0.006
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,-36.0,-50.149,-14.149,0.002
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,-42.0,-56.148,-14.148,0.001
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,-48.0,-62.147,-14.147,0.0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,-54.0,-68.147,-14.147,0.0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,-6.0,-28.489,-22.489,8.342
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,-9.0,-28.993,-19.993,5.846
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,0.0,-27.579,-27.579,13.432
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,-12.0,-28.959,-16.959,5.998
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,-15.0,-29.583,-14.583,3.622
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,-18.0,-30.401,-12.401,1.44
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,-21.0,-31.987,-10.987,0.026
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,-24.0,-34.979,-10.979,0.018
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,-27.0,-37.973,-10.973,0.012
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,-3.0,-27.555,-24.555,13.594
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,-30.0,-40.969,-10.969,0.008
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,-36.0,-46.965,-10.965,0.004
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,-42.0,-52.962,-10.962,0.001
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,-48.0,-58.961,-10.961,0.0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,-54.0,-64.961,-10.961,0.0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,-6.0,-27.995,-21.995,11.034
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,-9.0,-28.46,-19.46,8.499
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,0.0,-27.121,-27.121,16.16
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,-12.0,-20.259,-8.259,10.698
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,-15.0,-20.8,-5.8,8.239
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,-18.0,-21.409,-3.409,5.848
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,-21.0,-22.122,-1.122,3.561
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,-24.0,-23.073,0.927,1.512
